model,pool_name,seed,temperature,K,n,pool_hit,pool_recall,pool_precision,pool_f1
mistral-small:24b,direct,77,0.0,1,150,0.006666666666666667,0.0013333333333333335,0.006666666666666667,0.0022222222222222227
mistral-small:24b,direct,77,0.0,2,150,0.03333333333333333,0.010666666666666666,0.016666666666666666,0.012380952380952381
mistral-small:24b,direct,77,0.0,3,150,0.05333333333333334,0.016777777777777777,0.017777777777777778,0.016682539682539684
mistral-small:24b,direct,77,0.0,4,150,0.06666666666666667,0.02033333333333333,0.017777777777777778,0.018121693121693122
mistral-small:24b,direct,77,0.0,5,150,0.07333333333333333,0.027,0.018111111111111113,0.02024867724867725
mistral-small:24b,direct,77,0.0,6,150,0.07333333333333333,0.027,0.016555555555555556,0.018894660894660895
mistral-small:24b,direct,77,0.0,7,150,0.08,0.030333333333333334,0.016396825396825396,0.019302068302068303
mistral-small:24b,direct,77,0.0,8,150,0.08,0.033666666666666664,0.016277777777777776,0.019613904613904616
mistral-small:24b,direct,77,0.0,9,150,0.09333333333333334,0.03666666666666667,0.01711111111111111,0.02083179783179783
mistral-small:24b,direct,77,0.0,10,150,0.09333333333333334,0.03833333333333333,0.01711111111111111,0.02100895400895401
mistral-small:24b,direct,77,0.0,11,150,0.09333333333333334,0.03833333333333333,0.016686868686868687,0.02050895400895401
mistral-small:24b,direct,77,0.0,12,150,0.09333333333333334,0.03833333333333333,0.016434343434343433,0.020221839163015634
mistral-small:24b,direct,77,0.0,13,150,0.09333333333333334,0.03833333333333333,0.01639160839160839,0.02017826617826618
mistral-small:24b,direct,77,0.0,14,150,0.09333333333333334,0.03833333333333333,0.016354978354978355,0.020139279823490352
mistral-small:24b,direct,77,0.0,15,150,0.09333333333333334,0.03833333333333333,0.016323232323232323,0.020104192104192106
mistral-small:24b,direct,77,0.0,16,150,0.09333333333333334,0.03833333333333333,0.016323232323232323,0.020104192104192106
mistral-small:24b,direct,77,0.0,17,150,0.09333333333333334,0.03833333333333333,0.016323232323232323,0.020104192104192106
